2023-03-15 12:14:58 trigproc libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5 <none>
2023-03-15 12:14:58 status half-configured libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5
2023-03-15 12:14:58 status installed libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5
2023-03-15 12:16:40 startup archives unpack
2023-03-15 12:16:40 install libgpm2:armhf <none> 1.20.7-8
2023-03-15 12:16:40 status triggers-pending libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5
2023-03-15 12:16:40 status half-installed libgpm2:armhf 1.20.7-8
2023-03-15 12:16:40 status unpacked libgpm2:armhf 1.20.7-8
2023-03-15 12:16:40 install vim-runtime:all <none> 2:8.2.2434-3+deb11u1
2023-03-15 12:16:40 status half-installed vim-runtime:all 2:8.2.2434-3+deb11u1
2023-03-15 12:16:41 status triggers-pending man-db:armhf 2.9.4-2
2023-03-15 12:16:45 status unpacked vim-runtime:all 2:8.2.2434-3+deb11u1
2023-03-15 12:16:45 install vim:armhf <none> 2:8.2.2434-3+deb11u1
2023-03-15 12:16:45 status half-installed vim:armhf 2:8.2.2434-3+deb11u1
2023-03-15 12:16:46 status unpacked vim:armhf 2:8.2.2434-3+deb11u1
2023-03-15 12:16:46 startup packages configure
2023-03-15 12:16:46 configure libgpm2:armhf 1.20.7-8 <none>
2023-03-15 12:16:46 status unpacked libgpm2:armhf 1.20.7-8
2023-03-15 12:16:46 status half-configured libgpm2:armhf 1.20.7-8
2023-03-15 12:16:46 status installed libgpm2:armhf 1.20.7-8
2023-03-15 12:16:46 configure vim-runtime:all 2:8.2.2434-3+deb11u1 <none>
2023-03-15 12:16:46 status unpacked vim-runtime:all 2:8.2.2434-3+deb11u1
2023-03-15 12:16:46 status half-configured vim-runtime:all 2:8.2.2434-3+deb11u1
2023-03-15 12:16:47 status installed vim-runtime:all 2:8.2.2434-3+deb11u1
2023-03-15 12:16:47 configure vim:armhf 2:8.2.2434-3+deb11u1 <none>
2023-03-15 12:16:47 status unpacked vim:armhf 2:8.2.2434-3+deb11u1
2023-03-15 12:16:47 status half-configured vim:armhf 2:8.2.2434-3+deb11u1
2023-03-15 12:16:47 status installed vim:armhf 2:8.2.2434-3+deb11u1
2023-03-15 12:16:47 trigproc man-db:armhf 2.9.4-2 <none>
2023-03-15 12:16:47 status half-configured man-db:armhf 2.9.4-2
2023-03-15 12:16:49 status installed man-db:armhf 2.9.4-2
2023-03-15 12:16:50 trigproc libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5 <none>
2023-03-15 12:16:50 status half-configured libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5
2023-03-15 12:16:51 status installed libc-bin:armhf 2.31-13+rpt2+rpi1+deb11u5
